名称    连续涨停    开板数    涨停属性    涨停原因    
兴齐眼药    7    0    庄股    主要产品是眼科处方药物，溶菌酶滴眼液获注册批准    
美都能源    4    4    氢能源+创投+石油气+商誉减值+低价    石墨烯低价制氢技术获突破。黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。旗下美都墨烯已有一种石墨烯复合电极材料及制备方法获得了专利权。
亚星客车    3    5    氢能源+国改    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。多款燃料电池产品入围工信部推荐目录。
德美化工    2    0    氢能源+创投+猪肉    首批七家科创板基金获批；政治局会议提及科创板。农业农村部：四季度活猪价格将突破历史高点。此前全产业布局生猪养殖，子公司广东英农农牧有限公司用于生产生猪的固定资产设计最大产能为年生产生猪28000头，实际产能为年生产生猪约25000头；另外拥有全资子公司广东德运创投。
宏达新材    2    0    产品涨价    公司主营高温硅橡胶材料，属有机硅行业下游领域，主要原材料为DMC    
领益智造    2    1    小米概念（柔性屏)+创投    子公司帝晶光电所研发的Amoled以及incen和柔性显示等高端显示器件的新产品已有小批量量产    
梅雁吉祥    2    2    氢能源+老妖+低价    前期妖股龙头，主营水利发电和制造业    
正虹科技    2    3    生猪饲料    农业农村部：四季度活猪价格将突破历史高点。公司主营业务为研发生产销售饲料产品，产品包括畜、禽、水产三大系列。
禾丰牧业    2    1    猪肉    农业农村部：四季度活猪价格将突破历史高点。公司自主研发出猪场物联网系统，同时成功引进加拿大GESTAL哺乳母猪智能饲喂系统，相关业务板块已获取中粮、埃塞俄比亚等多份订单。
科融环境    2    0    燃料电池+战略合作+创投+低价    董事长参观清华大学研制的氢燃料电池汽车，并称为科融环境技术创新，未来发展方向奠定了坚实的基础。
市北高新    2    0    长三角+创投+国改    首批七家科创板基金获批；政治局会议提及科创板。创投概念龙头，公司旗下上海聚能湾企业服务有限公司孵化器是以大数据、云计算为产业特色的国家级科技企业孵化器。


    
【创投】    
德美化工    2    0    氢能源+创投    首批七家科创板基金获批；政治局会议提及科创板。农业农村部：四季度活猪价格将突破历史高点。此前全产业布局生猪养殖，子公司广东英农农牧有限公司用于生产生猪的固定资产设计最大产能为年生产生猪28000头，实际产能为年生产生猪约25000头；另外拥有全资子公司广东德运创投。
领益智造    2    1    小米概念（柔性屏)+创投    子公司帝晶光电所研发的Amoled以及incen和柔性显示等高端显示器件的新产品已有小批量量产    
科融环境    2    0    氢能源+石油气+创投+低价    董事长参观清华大学研制的氢燃料电池汽车，并称为科融环境技术创新，未来发展方向奠定了坚实的基础。
市北高新    2    0    长三角+创投+国改    首批七家科创板基金获批；政治局会议提及科创板。创投概念龙头，公司旗下上海聚能湾企业服务有限公司孵化器是以大数据、云计算为产业特色的国家级科技企业孵化器。
国光电器    1    0    小米概念（柔性屏)+创投    全资子公司国光电子主要生产软包锂电池，软包锂电池产品主要运用于蓝牙耳机、蓝牙音响、智能手表等消费类电子产品    
顺钠股份    1    1    创投+低价    首批七家科创板基金获批；政治局会议提及科创板。投资10亿打造全新科技产业园，此前闪崩跌超60%，控股股东持股遭冻结。
民丰特纸    1    2    长三角+创投+国改+燃料电池+大麻    首批七家科创板基金获批；政治局会议提及科创板。出资5110万元参与参股公司浙江天堂硅谷资产管理集团有限公司增资扩股，将对天堂硅谷的持股比例5%认购新增股本。
豫能控股    1    0    氢能源+创投+国改+电力+低价    实控人为河南发改委旗下的河南投资集团，中原地区，电力资源整合平台，资产整合预期强烈，区域电改龙头    
德联集团    1    2    氢能源+创投    主营车辆精细化学品，子公司上海德联获得蔚来汽车零件供应商资格    
麦达数字    1    3    创投+小米概念    首批七家科创板基金获批；政治局会议提及科创板。前期独角兽概念龙头，目前与小米生态圈之一的飞米达成业务合作，为其提供智能产品制造服务。
上实发展    1    4    长三角+创投    《长三角一体化发展规划纲要》初稿完成。与上海青浦发展（集团）有限公司就项目开发、金融、运营、管理等领域搭建合作平台。
摩恩电气    1    2    长三角+电力+创投    首批七家科创板基金获批；政治局会议提及科创板。与北京华卓投资管理有限公司等共同设立创业投资基金，持有北京华卓世纪创业投资企业（有限合伙）的 19.61%股权。


【氢能源】    
美都能源    4    4    氢能源+创投+石油气+商誉减值+低价    石墨烯低价制氢技术获突破。黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。旗下美都墨烯已有一种石墨烯复合电极材料及制备方法获得了专利权。
亚星客车    3    5    氢能源+国改    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。多款燃料电池产品入围工信部推荐目录。
德美化工    2    0    氢能源+创投+猪肉    首批七家科创板基金获批；政治局会议提及科创板。农业农村部：四季度活猪价格将突破历史高点。此前全产业布局生猪养殖，子公司广东英农农牧有限公司用于生产生猪的固定资产设计最大产能为年生产生猪28000头，实际产能为年生产生猪约25000头；另外拥有全资子公司广东德运创投。
梅雁吉祥    2    2    氢能源+老妖+低价    前期妖股龙头，主营水利发电和制造业    
科融环境    2    0    氢能源+石油气+创投+低价    董事长参观清华大学研制的氢燃料电池汽车，并称为科融环境技术创新，未来发展方向奠定了坚实的基础。
豫能控股    1    0    氢能源+创投+国改+电力+低价    实控人为河南发改委旗下的河南投资集团，中原地区，电力资源整合平台，资产整合预期强烈，区域电改龙头    
德联集团    1    2    氢能源+创投    主营车辆精细化学品，子公司上海德联获得蔚来汽车零件供应商资格    
民丰特纸    1    2    长三角+创投+国改+燃料电池+大麻    首批七家科创板基金获批；政治局会议提及科创板。出资5110万元参与参股公司浙江天堂硅谷资产管理集团有限公司增资扩股，将对天堂硅谷的持股比例5%认购新增股本。


   
【长三角一体化】    
市北高新    2    0    长三角+创投+国改    首批七家科创板基金获批；政治局会议提及科创板。创投概念龙头，公司旗下上海聚能湾企业服务有限公司孵化器是以大数据、云计算为产业特色的国家级科技企业孵化器。
上海梅林    1    1    长三角+猪肉    《长三角一体化发展规划纲要》初稿完成。实控人为上海国资委旗下的光明食品集团，主营食品制造和食品分销。
上实发展    1    4    长三角+创投    《长三角一体化发展规划纲要》初稿完成。与上海青浦发展（集团）有限公司就项目开发、金融、运营、管理等领域搭建合作平台。
摩恩电气    1    2    长三角+创投    首批七家科创板基金获批；政治局会议提及科创板。与北京华卓投资管理有限公司等共同设立创业投资基金，持有北京华卓世纪创业投资企业（有限合伙）的 19.61%股权。
华贸物流    1    12    长三角+物流    《长三角一体化发展规划纲要》初稿完成。公司为综合第三方物流服务企业，主营国际货代业务（国际空运、国际海运）、特种物流、供应链贸易等。


 
【小米概念】    
领益智造    2    1    小米概念（柔性屏)+创投    子公司帝晶光电所研发的Amoled以及incen和柔性显示等高端显示器件的新产品已有小批量量产    
国光电器    1    0    小米概念（柔性屏)+创投    全资子公司国光电子主要生产软包锂电池，软包锂电池产品主要运用于蓝牙耳机、蓝牙音响、智能手表等消费类电子产品    
康达新材    1    0    小米概念（柔性屏)+国改    拥有丰富的新型胶粘剂及新材料产品和技术储备，如聚酰亚胺绝热材料、丁基材料等    



【猪肉】    
正虹科技    2    3    生猪饲料    农业农村部：四季度活猪价格将突破历史高点。公司主营业务为研发生产销售饲料产品，产品包括畜、禽、水产三大系列。
禾丰牧业    2    1    猪肉    农业农村部：四季度活猪价格将突破历史高点。公司自主研发出猪场物联网系统，同时成功引进加拿大GESTAL哺乳母猪智能饲喂系统，相关业务板块已获取中粮、埃塞俄比亚等多份订单。
